,categories,cuisine
8462,"Salad, Restaurants, Korean, Asian Fusion, Gluten-Free",Asian Cuisine
8463,"Chinese, Restaurants, Shanghainese, American (Traditional)",Asian Cuisine
8464,"American (New), Restaurants, Vegetarian, Gluten-Free",American Cuisine
8465,"Pasta Shops, Gelato, Italian, Food, Restaurants, Salad, Pizza, Diners, Specialty Food",European Cuisine
8466,"Food, Bakeries, Sandwiches, Pizza, Breakfast & Brunch, Restaurants, Patisserie/Cake Shop, Desserts",European Cuisine
8467,"Chinese, Restaurants, Asian Fusion, Vegetarian",Asian Cuisine
8468,"Chicken Wings, Breakfast & Brunch, Chicken Shop, Restaurants, Fast Food",American Cuisine
8469,"Nightlife, American (Traditional), Restaurants, Mediterranean",American Cuisine
8470,"Restaurants, Thai, Noodles, Soup",Asian Cuisine
8471,"Breakfast & Brunch, Food, Restaurants, Coffee & Tea, Salad, Cafes, Sandwiches",American Cuisine
8472,"Kosher, Steakhouses, Restaurants",American Cuisine
8473,"Breakfast & Brunch, Sandwiches, Restaurants, Food, Donuts",American Cuisine
8474,"Breakfast & Brunch, Burgers, Diners, Restaurants, American (New), American (Traditional)",American Cuisine
8475,"Salad, Italian, Chicken Wings, Restaurants, Pizza, Food, Desserts",European Cuisine
8476,"Food, Burgers, American (Traditional), Ice Cream & Frozen Yogurt, Restaurants, Desserts",American Cuisine
8477,"Kosher, American (Traditional), Breakfast & Brunch, Delis, Restaurants",American Cuisine
8478,"Cafes, Wraps, Food, Restaurants, Coffee & Tea, Breakfast & Brunch",American Cuisine
8479,"Bakeries, Bagels, Coffee & Tea, Food, Restaurants, Sandwiches, Breakfast & Brunch",American Cuisine
8480,"Restaurants, Fast Food, Seafood",American Cuisine
8481,"Food, Breakfast & Brunch, American (Traditional), Restaurants",American Cuisine
8482,"Restaurants, Egyptian, Vegan, Middle Eastern, Vegetarian, Halal, Wraps",Middle Eastern / African Cuisine
8483,"American (New), Restaurants, Sandwiches, Breakfast & Brunch",American Cuisine
8484,"Health Markets, Food, Specialty Food, Restaurants, Mexican",South American Cuisine
8485,"Food, Restaurants, Coffee & Tea, Donuts, American (New)",American Cuisine
8486,"Restaurants, Sandwiches, Cheesesteaks, Fast Food",American Cuisine
8487,"Restaurants, Food, Cafes, Coffee & Tea, Coffee Roasteries, Bakeries",Unknown
8488,"American (Traditional), Breakfast & Brunch, American (New), Restaurants, Sandwiches, Waffles, Diners",American Cuisine
8489,"Mediterranean, Restaurants, Italian",European Cuisine
8490,"Restaurants, Breweries, Food, Brewpubs, Pizza",European Cuisine
8491,"Sandwiches, Restaurants, Halal, Fast Food, Chicken Wings, Chicken Shop",Middle Eastern / African Cuisine
8492,"Restaurants, Coffee & Tea, Desserts, Bakeries, Food, Sandwiches",Unknown
8493,"Coffee & Tea, Restaurants, Breakfast & Brunch, Food",American Cuisine
8494,"Restaurants, Delis, Food, Sandwiches, Grocery",Unknown
8495,"American (New), Steakhouses, Restaurants, Seafood, Sandwiches",American Cuisine
8496,"Burgers, American (Traditional), Chicken Wings, Restaurants, Fast Food",American Cuisine
8497,"Sandwiches, Ice Cream & Frozen Yogurt, Food, Burgers, Restaurants",American Cuisine
8498,"Restaurants, Korean, Japanese",Asian Cuisine
8499,"Restaurants, Fast Food, Food Court, Cheesesteaks, Sandwiches",American Cuisine
8500,"Buffets, Restaurants, Filipino, Pizza",Asian Cuisine
8501,"Fast Food, American (Traditional), American (New), Sandwiches, Restaurants",American Cuisine
8502,"Tacos, Restaurants, Tex-Mex, Local Flavor, Salad, Southern, Mexican, Breakfast & Brunch",South American Cuisine
8503,"Food, Donuts, Coffee & Tea, Restaurants, Bakeries",American Cuisine
8504,"Restaurants, Ice Cream & Frozen Yogurt, Cheesesteaks, Food, Sandwiches, American (Traditional)",American Cuisine
8505,"Cajun/Creole, Seafood, Sandwiches, Restaurants",American Cuisine
8506,"Breakfast & Brunch, Cajun/Creole, Restaurants, Cafes",American Cuisine
8507,"Fast Food, Asian Fusion, Restaurants",Asian Cuisine
8508,"Restaurants, Fast Food, Greek",European Cuisine
8509,"Middle Eastern, Restaurants, Mediterranean",Middle Eastern / African Cuisine
8510,"Restaurants, Salad, Soup, American (New), American (Traditional), Food, Pizza, Desserts",European Cuisine
8511,"Coffee & Tea, Food, Restaurants, Coffee Roasteries, Cafes",Unknown
8512,"American (New), Restaurants, Sandwiches",American Cuisine
8513,"Chicken Wings, Fast Food, American (Traditional), Restaurants",American Cuisine
8514,"Restaurants, American (Traditional), Seafood, Breakfast & Brunch",American Cuisine
8515,"Bakeries, Food, Coffee & Tea, Restaurants, American (Traditional)",American Cuisine
8516,"Food, Food Trucks, Mexican, Vegan, Restaurants, Tacos, Sandwiches",South American Cuisine
8517,"Bagels, Breakfast & Brunch, Restaurants, Food, Sandwiches, Delis",American Cuisine
8518,"Tacos, Restaurants, Salvadoran, Latin American, Food Trucks, Mexican, Food",South American Cuisine
8519,"Soup, Food, Breakfast & Brunch, Sandwiches, Salad, Restaurants, Bagels",American Cuisine
8520,"Restaurants, Breakfast & Brunch, Sandwiches, Wraps, Salad, Cafes",American Cuisine
8521,"Chicken Wings, Fast Food, Pizza, Restaurants",European Cuisine
8522,"Vegetarian, Restaurants, Indian",Asian Cuisine
8523,"Restaurants, American (New), Chinese, Japanese",Asian Cuisine
8524,"Burgers, American (Traditional), Breakfast & Brunch, Restaurants",American Cuisine
8525,"Coffee & Tea, Cafes, Food, Restaurants",Unknown
8526,"Sandwiches, Food, Coffee & Tea, Tea Rooms, Cafes, Restaurants",Unknown
8527,"American (New), Restaurants, Noodles, Comfort Food, Asian Fusion, Italian, Salad, Food, Specialty Food, Pasta Shops",Asian Cuisine
8528,"Restaurants, Nightlife, Waffles, American (New), Breakfast & Brunch, Diners, American (Traditional)",American Cuisine
8529,"American (Traditional), Comfort Food, Restaurants, American (New), Southern",American Cuisine
8530,"Burgers, Restaurants, Tacos, Mexican, Food, Food Trucks",South American Cuisine
8531,"Restaurants, Street Vendors, Thai, Food, Food Trucks, Asian Fusion, Noodles",Asian Cuisine
8532,"Restaurants, Seafood, Breweries, Burgers, Food",American Cuisine
8533,"Soup, Vegetarian, American (Traditional), Restaurants, Salad, Sandwiches, American (New)",American Cuisine
8534,"Sandwiches, Desserts, Food, Bakeries, Restaurants",Unknown
8535,"Bakeries, Restaurants, Food, Desserts",Unknown
8536,"Mexican, Restaurants, Tex-Mex, Breakfast & Brunch",South American Cuisine
8537,"Waffles, Japanese, Food Trucks, Restaurants, Food, Ramen",Asian Cuisine
8538,"Sandwiches, American (Traditional), Fast Food, Burgers, Restaurants",American Cuisine
8539,"Bakeries, Food, Cupcakes, Restaurants, Custom Cakes, Cafes",American Cuisine
8540,"Restaurants, American (Traditional), Vegetarian, Soup, Salad, American (New), Sandwiches",American Cuisine
8541,"Breakfast & Brunch, Restaurants, Gluten-Free",American Cuisine
8542,"Coffee & Tea, Bagels, Food, Restaurants, Sandwiches, Bakeries",Unknown
8543,"Seafood, Restaurants, Food, Specialty Food, American (New), Seafood Markets",American Cuisine
8544,"Delis, Restaurants, Pizza, Food",European Cuisine
8545,"Restaurants, American (New), Delis, Breakfast & Brunch, Tapas/Small Plates, Cafes",European Cuisine
8546,"Restaurants, Spanish, American (New), Italian",European Cuisine
8547,"Hot Dogs, Restaurants, Sandwiches, Fast Food",American Cuisine
8548,"Custom Cakes, Restaurants, Food, Bakeries",Unknown
8549,"Burgers, Restaurants, Chicken Wings, Pizza",European Cuisine
8550,"Restaurants, Pizza, Vegetarian, Salad, Italian",European Cuisine
8551,"Sandwiches, Italian, Pizza, Restaurants, Vegan",European Cuisine
8552,"Delis, Sandwiches, American (Traditional), Restaurants, Chicken Wings, Steakhouses",American Cuisine
8553,"Food, Food Stands, Restaurants, Food Trucks, Thai",Asian Cuisine
8554,"Dim Sum, Chinese, Cantonese, Restaurants",Asian Cuisine
8555,"Food, Specialty Food, Popcorn Shops, Grocery, Vegan, Gluten-Free, Street Vendors, Food Trucks, Pretzels, Restaurants, Farmers Market",European Cuisine
8556,"American (Traditional), Canadian (New), Restaurants, Comfort Food",American Cuisine
8557,"Desserts, Fast Food, Restaurants, Burgers, Ice Cream & Frozen Yogurt, Food",American Cuisine
8558,"Tex-Mex, Restaurants, Tacos, Mexican",South American Cuisine
8559,"Mexican, Restaurants, Seafood, Latin American",South American Cuisine
8560,"Pizza, Restaurants, American (Traditional), Italian",European Cuisine
8561,"Soul Food, Food, Bakeries, American (Traditional), Restaurants",American Cuisine
8562,"Mediterranean, Food, Breakfast & Brunch, Italian, Bakeries, Beer, Wine & Spirits, American (Traditional), Restaurants, Diners",European Cuisine
8563,"Beauty & Spas, Restaurants, Italian, Nail Salons, Sandwiches, Pizza",European Cuisine
8564,"Sandwiches, Coffee & Tea, Specialty Food, Restaurants, Food",Unknown
8565,"Sandwiches, Seafood, Cajun/Creole, Restaurants",American Cuisine
8566,"Asian Fusion, Vegan, Chinese, Restaurants, American (New), Pan Asian, Vegetarian",Asian Cuisine
8567,"Vegan, Vegetarian, Restaurants, Food, CSA",Unknown
8568,"American (Traditional), Seafood, Soul Food, Restaurants",American Cuisine
8569,"Spanish, Caribbean, Puerto Rican, Restaurants",South American Cuisine
8570,"Cupcakes, Bakeries, Food, Breakfast & Brunch, Restaurants, Coffee & Tea",American Cuisine
8571,"Caribbean, Restaurants, Gluten-Free, Cajun/Creole, Vegan",South American Cuisine
8572,"Food, Restaurants, Burgers, Specialty Food, Fast Food",American Cuisine
8573,"Thai, Restaurants, Vietnamese",Asian Cuisine
8574,"Restaurants, Bakeries, Food, Coffee & Tea, Breakfast & Brunch",American Cuisine
8575,"Coffee & Tea, Desserts, Indian, Restaurants, Food",Asian Cuisine
8576,"Bakeries, Delis, Food, Restaurants, Bagels",Unknown
8577,"Chicken Shop, Korean, Chicken Wings, Restaurants",Asian Cuisine
8578,"Pakistani, Indian, Food, Restaurants, Buffets",Asian Cuisine
8579,"Coffee & Tea, Gelato, Food, Cafes, Restaurants",European Cuisine
8580,"Sandwiches, Italian, Chicken Wings, Restaurants, Pizza",European Cuisine
8581,"Breakfast & Brunch, American (New), Restaurants, Steakhouses",American Cuisine
8582,"Food Trucks, Halal, Restaurants, Afghan, Food, Comfort Food",Asian Cuisine
8583,"Food, Food Trucks, Seafood, Restaurants",Unknown
8584,"Restaurants, Chinese, Dim Sum",Asian Cuisine
8585,"Restaurants, Salad, Sandwiches, Burgers, Italian, American (Traditional)",European Cuisine
8586,"Middle Eastern, Hungarian, Modern European, Restaurants, Polish, German, Austrian",Middle Eastern / African Cuisine
8587,"Mediterranean, Beer, Wine & Spirits, Food, Coffee & Tea, Restaurants, Local Flavor",Unknown
8588,"American (Traditional), Breakfast & Brunch, Food, Coffee & Tea, Restaurants, Diners",American Cuisine
8589,"Puerto Rican, Empanadas, Caribbean, Food, Restaurants",South American Cuisine
8590,"Imported Food, Ethnic Food, Food, Chinese, Restaurants, Specialty Food",Asian Cuisine
8591,"Restaurants, Breakfast & Brunch, Coffee & Tea, Sandwiches, Bagels, Food",American Cuisine
8592,"Tacos, Restaurants, Food Trucks, Korean, Food, Street Vendors, Mexican",Asian Cuisine
8593,"American (New), American (Traditional), Sandwiches, Breakfast & Brunch, Restaurants",American Cuisine
8594,"Specialty Food, Pizza, Food, Greek, Ethnic Food, Restaurants",European Cuisine
8595,"Restaurants, Greek, Fast Food, Mediterranean",European Cuisine
8596,"French, Thai, Restaurants",Asian Cuisine
8597,"Burgers, Donairs, Restaurants, Food, Pizza",European Cuisine
8598,"Restaurants, Vegetarian, American (New)",American Cuisine
8599,"Mediterranean, Restaurants, American (Traditional), Canadian (New), Lebanese, Middle Eastern",Middle Eastern / African Cuisine
8600,"Grocery, Meat Shops, Restaurants, Delis, Specialty Food, Food",Unknown
8601,"Restaurants, Tex-Mex, Mexican, Breakfast & Brunch, Fast Food, Tacos",South American Cuisine
8602,"Dim Sum, Restaurants, Asian Fusion, Chinese",Asian Cuisine
8603,"Bakeries, Restaurants, Coffee & Tea, Food, Sandwiches, Breakfast & Brunch",American Cuisine
8604,"Food, Vegetarian, Food Trucks, Restaurants",Unknown
8605,"Pizza, Burgers, Restaurants, American (New)",European Cuisine
8606,"Restaurants, Comfort Food, Cajun/Creole",American Cuisine
8607,"Restaurants, Comfort Food, American (New)",American Cuisine
8608,"American (New), Cafes, American (Traditional), Breakfast & Brunch, Restaurants",American Cuisine
8609,"Pizza, Cheesesteaks, Chicken Wings, Restaurants",European Cuisine
8610,"Pizza, Hot Dogs, Restaurants, Food, Sandwiches",European Cuisine
8611,"Pizza, Restaurants, Food, American (New), Polish",European Cuisine
8612,"Restaurants, Breakfast & Brunch, Bagels, Sandwiches, Food",American Cuisine
8613,"Seafood, Restaurants, American (Traditional), Breakfast & Brunch",American Cuisine
8614,"Restaurants, Mexican, Ethnic Food, Food, Specialty Food, Latin American",South American Cuisine
8615,"Burgers, Restaurants, American (New)",American Cuisine
8616,"Restaurants, American (Traditional), Beer, Wine & Spirits, Food",American Cuisine
8617,"Chicken Wings, Restaurants, Sandwiches, Pizza, Italian",European Cuisine
8618,"Tex-Mex, Mexican, Restaurants, Tacos, Fast Food, Breakfast & Brunch",South American Cuisine
8619,"Chicken Shop, Food, Restaurants, Chicken Wings, Fast Food",American Cuisine
8620,"Indian, Restaurants, Halal, Kebab, Pakistani",Asian Cuisine
8621,"Bagels, Sandwiches, Soup, Restaurants, Bakeries, Salad, Breakfast & Brunch, Food",American Cuisine
8622,"Chinese, Food, Restaurants, Asian Fusion",Asian Cuisine
8623,"Restaurants, Chicken Wings, American (Traditional), Fast Food, Seafood",American Cuisine
8624,"Sandwiches, Breakfast & Brunch, Restaurants, Delis",American Cuisine
8625,"Restaurants, Thai, Vegetarian, Vegan",Asian Cuisine
8626,"Food, Sandwiches, Restaurants, Desserts, Bakeries",Unknown
8627,"Fast Food, Restaurants, Food, Ice Cream & Frozen Yogurt, Burgers",American Cuisine
8628,"Pizza, American (New), Restaurants",European Cuisine
8629,"Ice Cream & Frozen Yogurt, Food, Burgers, Fast Food, Restaurants",American Cuisine
8630,"Salad, Chicken Wings, Fast Food, Restaurants",American Cuisine
8631,"Italian, Coffee & Tea, Restaurants, Food, Bagels",European Cuisine
8632,"Food, Poke, Bubble Tea, Korean, Restaurants",Asian Cuisine
8633,"Pizza, Diners, Restaurants, Italian",European Cuisine
8634,"Restaurants, Vietnamese, French, Chinese",Asian Cuisine
8635,"Restaurants, Food, Beer, Wine & Spirits, Mexican",South American Cuisine
8636,"Moroccan, Restaurants",Middle Eastern / African Cuisine
8637,"Restaurants, Breweries, Italian, Pizza, Food",European Cuisine
8638,"Sandwiches, Chicken Wings, Pizza, Restaurants, Italian",European Cuisine
8639,"Hungarian, Restaurants, Pizza, German, Modern European",European Cuisine
8640,"Delis, Restaurants, Breakfast & Brunch",American Cuisine
8641,"Canadian (New), Restaurants, Burgers",American Cuisine
8642,"Restaurants, Desserts, Food, Coffee & Tea, Sandwiches",Unknown
8643,"Sandwiches, Delis, Restaurants, Breakfast & Brunch",American Cuisine
8644,"Food Trucks, Restaurants, Italian, Food",European Cuisine
8645,"Sandwiches, Burgers, Breakfast & Brunch, Restaurants",American Cuisine
8646,"Food, Automotive, Auto Detailing, Restaurants, Desserts, Pizza, American (New), American (Traditional)",European Cuisine
8647,"Chicken Wings, Restaurants, Food Stands",Unknown
8648,"Bakeries, Restaurants, Cafes, Desserts, Food",Unknown
8649,"Restaurants, Vegan, Pizza",European Cuisine
8650,"Food Stands, Japanese, Restaurants, Korean",Asian Cuisine
8651,"Restaurants, Sandwiches, Food, American (Traditional)",American Cuisine
8652,"Southern, Restaurants, American (Traditional), Breakfast & Brunch",American Cuisine
8653,"Food, Pizza, Restaurants, Italian",European Cuisine
8654,"Sandwiches, Noodles, Asian Fusion, Restaurants, Vietnamese, Gluten-Free, Soup",Asian Cuisine
8655,"Restaurants, Pizza, Cheesesteaks, Italian, Mexican",South American Cuisine
8656,"Waffles, Restaurants, Creperies",European Cuisine
8657,"Restaurants, Food, Cafes",Unknown
8658,"Burgers, Donairs, Food, Restaurants",American Cuisine
8659,"Sandwiches, Pizza, Salad, Restaurants",European Cuisine
8660,"Restaurants, Vietnamese, Food, Soup",Asian Cuisine
8661,"Caribbean, Restaurants, American (Traditional), Specialty Food, Puerto Rican, Ethnic Food, Food, Latin American, Mexican",South American Cuisine
8662,"Pizza, Italian, Sandwiches, Food, Desserts, Restaurants",European Cuisine
8663,"Restaurants, Food, Halal, Desserts, Kebab",Middle Eastern / African Cuisine
8664,"Sandwiches, Food, Coffee & Tea, Delis, Restaurants",Unknown
8665,"Georgian, Restaurants",Unknown
8666,"Breakfast & Brunch, Food, Restaurants, Burgers, American (Traditional), Coffee & Tea, Sandwiches",American Cuisine
8667,"Coffee & Tea, Restaurants, Italian, Pizza, Food",European Cuisine
8668,"Comfort Food, Custom Cakes, Ice Cream & Frozen Yogurt, Restaurants, Food, Desserts, Cupcakes",American Cuisine
